Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;C;23;TOR;8;0;22.3;3;7.9;0.381;0.5;2.6;0.19;2.5;5.3;0.476;0.413;2.4;2.9;0.826;1.6;6.1;7.8;1.3;0.1;0.4;1.3;1.5;8.9
2;Steven Adams;C;29;MEM;8;8;26.9;2.8;4.8;0.579;0;0;0;2.8;4.8;0.579;0.579;0.8;2.6;0.286;3.9;6.3;10.1;2.4;0.6;1.5;2.1;2.5;6.3
3;Bam Adebayo;C;25;MIA;9;9;35;7;13;0.538;0;0.2;0;7;12.8;0.548;0.538;3.9;4.6;0.854;2.2;6;8.2;3.4;1.2;1;3.4;3.6;17.9
4;Ochai Agbaji;SG;22;UTA;4;0;14.8;2;4.8;0.421;0;1.5;0;2;3.3;0.615;0.421;1;1.8;0.571;1;1;2;0.3;0;0;0;1.3;5
5;Santi Aldama;PF;22;MEM;8;8;29.4;3.6;8.3;0.439;1;3.5;0.286;2.6;4.8;0.553;0.5;1.6;2.4;0.684;2.1;4.1;6.3;0.9;0.6;1.3;0.6;2.9;9.9
6;Nickeil Alexander-Walker;SG;24;UTA;5;0;7.8;1.4;3.2;0.438;0.6;1.8;0.333;0.8;1.4;0.571;0.531;0.6;0.8;0.75;0;0.6;0.6;1.8;0.8;0.4;0.4;1.2;4
7;Grayson Allen;SG;27;MIL;7;7;26;2.6;7.7;0.333;1.6;5;0.314;1;2.7;0.368;0.435;2;2.3;0.875;0.6;2.6;3.1;2.6;0.7;0;1.3;1.3;8.7
8;Jarrett Allen;C;24;CLE;7;7;33;5.1;9.4;0.545;0;0.3;0;5.1;9.1;0.563;0.545;2;2.7;0.737;4.3;7.7;12;1.3;0.1;1.1;1.3;2.1;12.3
9;Jose Alvarado;PG;24;NOP;7;2;20.9;3.4;7;0.49;1.6;3.7;0.423;1.9;3.3;0.565;0.602;0.4;0.6;0.75;0.1;1.9;2;2.7;0.9;0.1;1.6;1.6;8.9
10;Kyle Anderson;PF;29;MIN;4;0;12.3;0.3;0.8;0.333;0;0.3;0;0.3;0.5;0.5;0.333;1.3;1.5;0.833;0.8;2;2.8;1.3;0.3;0.3;0.5;0.8;1.8
11;Giannis Antetokounmpo;PF;28;MIL;7;7;33.4;12.4;21.9;0.569;0.9;3.6;0.24;11.6;18.3;0.633;0.588;7.9;11.9;0.663;2.3;10.4;12.7;5;1.1;1.7;3;2.9;33.6
12;Thanasis Antetokounmpo;SF;30;MIL;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0
13;Cole Anthony;PG;22;ORL;4;3;30.5;5.5;13.3;0.415;1.8;5;0.35;3.8;8.3;0.455;0.481;2.8;3.8;0.733;0.8;4;4.8;4.3;0.8;0.8;2;3.5;15.5
14;OG Anunoby;SF;25;TOR;8;8;34.1;5;10.9;0.46;1.8;4.8;0.368;3.3;6.1;0.531;0.54;2.4;2.9;0.826;1;5.3;6.3;1.9;2.9;1;1.9;3.6;14.1
15;Ryan Arcidiacono;PG;28;NYK;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
16;Deni Avdija;SF;22;WAS;8;6;18.5;1.6;4;0.406;0.6;1.6;0.385;1;2.4;0.421;0.484;1;1.3;0.8;0.3;3.6;3.9;1.3;0.5;0.9;0.5;3;4.9
17;Deandre Ayton;C;24;PHO;5;5;26;6.8;12.4;0.548;0.2;0.6;0.333;6.6;11.8;0.559;0.556;1.6;2.2;0.727;2;6.2;8.2;2;0.6;0.4;2.6;3.8;15.4
18;Udoka Azubuike;C;23;UTA;2;0;6;1;1.5;0.667;0;0;0;1;1.5;0.667;0.667;0;0;0;0;2.5;2.5;0;1;0.5;0.5;0.5;2
19;Patrick Baldwin Jr.;SF;20;GSW;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;Mo Bamba;C;24;ORL;9;0;12.6;1.8;4.2;0.421;0.6;2.1;0.263;1.2;2.1;0.579;0.487;0.3;0.6;0.6;0.6;2.7;3.2;0.7;0.1;0.6;0.8;1.9;4.4
21;Paolo Banchero;PF;20;ORL;9;9;34;7.4;16.8;0.444;1;4;0.25;6.4;12.8;0.504;0.474;5.9;8;0.736;0.9;6.8;7.7;3.6;0.7;1;3;2.2;21.8
22;Desmond Bane;SG;24;MEM;7;7;33.6;8;18.1;0.441;4.3;9.1;0.469;3.7;9;0.413;0.559;4.6;5.3;0.865;0.6;4.6;5.1;5;0.7;0.4;2.3;2.4;24.9
23;Dalano Banton;PG;23;TOR;8;0;8.4;1.6;3.1;0.52;0.6;1.4;0.455;1;1.8;0.571;0.62;0.3;0.3;1;0.3;0.6;0.9;0.5;0.3;0.4;0.3;0.5;4.1
24;Dominick Barlow;SF;19;SAS;1;0;10;1;3;0.333;0;2;0;1;1;1;0.333;0;0;0;0;1;1;3;0;0;0;2;2
25;Harrison Barnes;PF;30;SAC;7;7;33;3.4;8.9;0.387;0.6;3.3;0.174;2.9;5.6;0.513;0.419;4;5;0.8;1;4.7;5.7;2.3;0.4;0.1;1.1;1.4;11.4
26;Scottie Barnes;PF;21;TOR;7;7;29.1;6.1;11.7;0.524;1.7;3.6;0.48;4.4;8.1;0.544;0.598;1.4;1.9;0.769;1.1;4.4;5.6;4.4;1;0.6;1.9;1.6;15.4
27;RJ Barrett;SG;22;NYK;7;7;34.9;6.9;16.9;0.407;1.3;5.4;0.237;5.6;11.4;0.488;0.445;2.9;3.6;0.8;1.3;4.4;5.7;2.6;0.1;0.3;2;2;17.9
28;Will Barton;SG;32;WAS;8;0;24.5;3.5;8.1;0.431;1.5;3.5;0.429;2;4.6;0.432;0.523;1;1.1;0.889;0.4;2.4;2.8;2.3;0.8;0.3;1.3;1.6;9.5
29;Charles Bassey;C;22;SAS;1;0;12;3;5;0.6;1;2;0.5;2;3;0.667;0.7;2;2;1;1;3;4;0;0;2;0;1;9
30;Keita Bates-Diop;SF;27;SAS;8;2;11.9;3;5.6;0.533;0.5;1.4;0.364;2.5;4.3;0.588;0.578;1.4;1.5;0.917;0.6;1.3;1.9;0.5;0.1;0;1.4;0.5;7.9
31;Nicolas Batum;PF;34;LAC;8;1;17.1;1.5;3.3;0.462;0.8;2.1;0.353;0.8;1.1;0.667;0.577;0.6;0.9;0.714;0.6;2.8;3.4;1.4;0.6;1;0.8;2.5;4.4
32;Darius Bazley;PF;22;OKC;8;0;17.6;2.6;6;0.438;0.5;1.5;0.333;2.1;4.5;0.472;0.479;0.5;1.1;0.444;1.8;3.5;5.3;1.4;0.5;1.4;0.8;1.3;6.3
33;Bradley Beal;SG;29;WAS;8;8;35.9;8.3;15.6;0.528;1.4;4.3;0.324;6.9;11.4;0.604;0.572;3.9;4.3;0.912;0.8;2.9;3.6;6;0.8;0.8;3;2.1;21.8
34;Malik Beasley;SG;26;UTA;9;0;25.3;4.2;10.2;0.413;2.3;5.9;0.396;1.9;4.3;0.436;0.527;0.8;0.9;0.875;0.9;2.2;3.1;1.1;1;0.2;0.6;0.6;11.6
35;MarJon Beauchamp;SF;22;MIL;4;0;7.3;0.5;1.8;0.286;0.3;1.3;0.2;0.3;0.5;0.5;0.357;0.8;1;0.75;0.3;1;1.3;0.3;0.5;0.3;1;0.8;2
36;Patrick Beverley;PG;34;LAL;7;7;27.7;1.1;4.4;0.258;0.6;3;0.19;0.6;1.4;0.4;0.323;1.7;1.7;1;1;2.9;3.9;2.9;1.3;0.6;1.1;3;4.6
37;Saddiq Bey;SF;23;DET;9;9;31.6;4.9;10.9;0.449;1.9;5.4;0.347;3;5.4;0.551;0.536;4.3;4.9;0.886;1.2;3.7;4.9;1.4;0.7;0.3;1.6;1.9;16
38;Khem Birch;C;30;TOR;4;0;8.5;0.8;1.3;0.6;0.3;0.3;1;0.5;1;0.5;0.7;0.5;0.5;1;0.8;0.5;1.3;0.3;0.8;0.3;0.3;2;2.3
39;Goga Bitadze;C;23;IND;7;0;14;1.9;3.3;0.565;0.1;0.9;0.167;1.7;2.4;0.706;0.587;1;2;0.5;1.7;2;3.7;1.6;0.6;0.6;0.6;2.3;4.9
40;Bismack Biyombo;C;30;PHO;5;2;16.6;2;2.8;0.714;0;0;0;2;2.8;0.714;0.714;0.8;1.4;0.571;1;3.8;4.8;0.8;0;2.2;0.8;2.4;4.8
41;Buddy Boeheim;PG;23;DET;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;Bojan Bogdanovi?;PF;33;DET;9;9;31.6;7.1;13.7;0.52;3.7;7.3;0.5;3.4;6.3;0.544;0.654;3.9;4.1;0.946;0.6;2.9;3.4;2.1;0.4;0;1.8;2.1;21.8
43;Bol Bol;PF;23;ORL;9;4;21.3;4.2;6.4;0.655;0.3;1.1;0.3;3.9;5.3;0.729;0.681;1.6;1.9;0.824;1.8;5.4;7.2;0.4;0.1;2.6;1.7;1.6;10.3
44;Leandro Bolmaro;SG;22;UTA;2;0;8;0.5;1.5;0.333;0;0.5;0;0.5;1;0.5;0.333;0;0;0;0.5;0;0.5;1;0;0.5;0.5;1.5;1
45;Devin Booker;SG;26;PHO;7;7;36.1;10;19.9;0.504;2.1;6.1;0.349;7.9;13.7;0.573;0.558;5.6;6.6;0.848;0.7;3.1;3.9;5.4;0.9;0.3;2.6;2.3;27.7
46;Brandon Boston Jr.;SG;21;LAC;5;0;3.2;1;2;0.5;0.4;0.6;0.667;0.6;1.4;0.429;0.6;0.2;0.4;0.5;0.2;0.2;0.4;0;0;0;0;0.2;2.6
47;Chris Boucher;PF;30;TOR;5;0;19.4;4.6;7.2;0.639;1.8;3.2;0.563;2.8;4;0.7;0.764;0.8;1.4;0.571;1.2;2.8;4;0.8;1;1.2;0.8;3.2;11.8
48;James Bouknight;SG;22;CHO;8;0;17.6;2;6.9;0.291;1.3;4.4;0.286;0.8;2.5;0.3;0.382;0.6;1;0.625;0;2;2;1;0.3;0.1;0.9;1.6;5.9
49;Tony Bradley;C;25;CHI;2;0;3;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0.5;1;1.5;0;0;0;0;0;0
50;Malaki Branham;SF;19;SAS;2;0;21;2.5;9;0.278;1.5;5;0.3;1;4;0.25;0.361;2.5;3;0.833;1;1;2;2.5;0;0;0.5;1;9
51;Christian Braun;SG;21;DEN;8;0;16.4;1.8;3.6;0.483;0.6;1.6;0.385;1.1;2;0.563;0.569;0.3;0.5;0.5;0.9;1.6;2.5;1.1;0.5;0.3;0.5;1.1;4.4
52;Mikal Bridges;SF;26;PHO;7;7;35.7;6.1;9.6;0.642;1;2.1;0.467;5.1;7.4;0.692;0.694;2.6;3;0.857;1.7;3.7;5.4;3.1;0.6;1.3;1.4;2.7;15.9
53;Oshae Brissett;SF;24;IND;4;0;6.8;0.3;1.8;0.143;0.3;1.3;0.2;0;0.5;0;0.214;0;0;0;0.3;0.5;0.8;0;0;0;0.5;0.5;0.8
54;Malcolm Brogdon;PG;30;BOS;7;0;23.1;4.7;10.1;0.465;1.3;3.4;0.375;3.4;6.7;0.511;0.528;2.9;3;0.952;0.9;2.4;3.3;3.6;0.6;0;1.7;1.6;13.6
55;Dillon Brooks;SG;27;MEM;5;5;27.8;5.4;13.6;0.397;2.2;5.4;0.407;3.2;8.2;0.39;0.478;1.6;2.4;0.667;0.2;1.8;2;1.6;0.8;0;1.4;2.8;14.6
56;Bruce Brown;PG;26;DEN;8;3;28.3;4.5;8.9;0.507;1.8;3.8;0.467;2.8;5.1;0.537;0.606;0.4;0.8;0.5;1.1;2.1;3.3;4.1;0.6;0.4;1.3;1.9;11.1
57;Greg Brown III;PF;21;POR;3;0;4.3;1.3;1.7;0.8;0;0;0;1.3;1.7;0.8;0.8;0;1;0;0;0;0;0;0.3;0.3;0.3;0;2.7
58;Jaylen Brown;SF;26;BOS;7;7;37.6;9.4;21;0.449;2.6;7.7;0.333;6.9;13.3;0.516;0.51;4.6;5.4;0.842;1;5.9;6.9;3;1.1;0.9;3;2.9;26
59;Moses Brown;C;23;LAC;5;0;4.8;1.6;2.2;0.727;0;0;0;1.6;2.2;0.727;0.727;0.4;1;0.4;0.6;1.2;1.8;0;0;0.6;0;0.8;3.6
60;Troy Brown Jr.;SF;23;LAL;5;3;27;3.4;8;0.425;1;3.4;0.294;2.4;4.6;0.522;0.488;1.2;1.2;1;1;5.6;6.6;1.2;0.6;0;1;2.2;9
61;Jalen Brunson;PG;26;NYK;7;7;33.7;7.1;14.9;0.481;1.3;4;0.321;5.9;10.9;0.539;0.524;2.9;3.9;0.741;0.3;3.4;3.7;6.9;1.1;0.3;1.9;2.7;18.4
62;Reggie Bullock;SF;31;DAL;7;7;32.3;2.1;5.7;0.375;1.9;4.7;0.394;0.3;1;0.286;0.538;0.4;0.7;0.6;0.6;2.3;2.9;0.9;0.9;0.1;0.7;3;6.6
63;Jimmy Butler;SF;33;MIA;8;8;35.5;6.8;14.4;0.47;1.1;2.9;0.391;5.6;11.5;0.489;0.509;6.9;7.9;0.873;2.1;4.3;6.4;5.5;1.5;0.3;1.6;1.1;21.5
64;Kentavious Caldwell-Pope;SG;29;DEN;7;7;32;3.9;8.6;0.45;2.7;5.1;0.528;1.1;3.4;0.333;0.608;0.9;0.9;1;0.4;3.4;3.9;3;1;0.6;1;2.3;11.3
65;Facundo Campazzo;PG;31;DAL;2;0;8;0.5;2;0.25;0.5;1.5;0.333;0;0.5;0;0.375;0;0;0;0;0;0;1.5;1.5;0;0;0.5;1.5
66;Vlatko ?an?ar;PF;25;DEN;3;0;2;0;0.3;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0
67;Clint Capela;C;28;ATL;8;8;26.3;3.8;6.8;0.556;0;0;0;3.8;6.8;0.556;0.556;0.9;1.6;0.538;3.3;5.6;8.9;0.8;0.9;1.5;0.9;1.6;8.4
68;Vernon Carey Jr.;C;21;WAS;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;Jevon Carter;PG;27;MIL;7;7;23.6;1.4;5;0.286;0.7;3.3;0.217;0.7;1.7;0.417;0.357;0.3;0.3;1;0.9;1.6;2.4;1.7;1.9;0.4;1;2.9;3.9
70;Wendell Carter Jr.;C;23;ORL;9;9;32.7;5.4;11.1;0.49;1;3.3;0.3;4.4;7.8;0.571;0.535;4;5;0.8;2.6;6.9;9.4;2.7;0.8;0.4;2.1;3.3;15.9
71;Alex Caruso;PG;28;CHI;9;4;24.1;1.6;4.2;0.368;0.9;2.4;0.364;0.7;1.8;0.375;0.474;1.3;1.8;0.75;0.6;2.2;2.8;3.4;1.6;0.9;1.7;1.9;5.3
72;Justin Champagnie;SF;21;TOR;2;0;4.5;1.5;1.5;1;0;0;0;1.5;1.5;1;1;0;0;0;0.5;1;1.5;0;0;0;0;0.5;3
73;Kennedy Chandler;PG;20;MEM;4;0;8.8;0.8;2.3;0.333;0;0.5;0;0.8;1.8;0.429;0.333;0.3;1;0.25;0;0.3;0.3;1.5;0;0.5;1;0.5;1.8
74;Max Christie;SG;19;LAL;2;0;2.5;0.5;0.5;1;0.5;0.5;1;0;0;0;1.5;1;1;1;0;1;1;0.5;0;0;0;0;2.5
75;Josh Christopher;SG;21;HOU;7;0;7.7;1.3;3.1;0.409;0.1;1.3;0.111;1.1;1.9;0.615;0.432;0.1;0.3;0.5;0.3;1.3;1.6;0.6;0;0;0.6;0.6;2.9
76;Brandon Clarke;PF;26;MEM;8;0;16.8;3.8;5.9;0.638;0;0.4;0;3.8;5.5;0.682;0.638;1.4;2.1;0.647;0.9;2.8;3.6;1.3;0.4;0.6;1.1;2.4;8.9
77;Jordan Clarkson;SG;30;UTA;9;9;31.1;6.1;14.9;0.41;3;8.1;0.37;3.1;6.8;0.459;0.511;1.9;2.7;0.708;1.6;3;4.6;5.6;0.4;0.7;2.6;2;17.1
78;Nic Claxton;C;23;BRK;8;8;29;5.3;7.5;0.7;0;0.1;0;5.3;7.4;0.712;0.7;1.4;3.4;0.407;3;5.8;8.8;1;0.5;2.1;1.6;2.6;11.9
79;Amir Coffey;SG;25;LAC;7;0;10.3;0.6;1.9;0.308;0;0.3;0;0.6;1.6;0.364;0.308;1.4;1.7;0.833;0.3;0.9;1.1;0.7;0.1;0.1;0.3;0.7;2.6
80;John Collins;PF;25;ATL;8;8;32.6;5.4;10.3;0.524;0.8;3.1;0.24;4.6;7.1;0.649;0.561;2;2.3;0.889;2;8.3;10.3;1;1;1.6;1.9;3.5;13.5
81;Zach Collins;PF;25;SAS;8;0;17.3;3.4;6.5;0.519;0.8;2;0.375;2.6;4.5;0.583;0.577;0.8;1.1;0.667;1.5;2.9;4.4;2.9;0.6;1.3;1.8;3.1;8.3
82;Mike Conley;PG;35;UTA;8;8;30.8;3.6;9.5;0.382;2.4;5.8;0.413;1.3;3.8;0.333;0.507;1.9;2.5;0.75;0.3;1.9;2.1;7.1;1.3;0.5;1.6;2;11.5
83;Robert Covington;PF;32;LAC;5;0;17.4;1.6;3.8;0.421;0.8;2.6;0.308;0.8;1.2;0.667;0.526;1.2;1.2;1;0.2;4.4;4.6;1.4;0.6;1;0.6;2.4;5.2
84;Torrey Craig;SF;32;PHO;7;0;14.6;2.1;3.4;0.625;1;2.1;0.467;1.1;1.3;0.889;0.771;0.1;0.3;0.5;1.6;2;3.6;1;0.3;0.1;0.4;1.3;5.4
